person,questionCode,timediff,rawEeg
javier,3,0.9186845999999989,43
javier,3,0.9187134999999955,37
javier,3,0.9187263999999971,41
javier,3,0.9188470999999936,65
javier,3,0.9188613999999973,90
javier,3,0.918871799999998,104
javier,3,0.9190074999999993,86
javier,3,0.9190400999999966,48
javier,3,0.9190529999999981,22
javier,3,0.9190733999999949,9
javier,3,0.9191858999999951,8
javier,3,0.9191975999999968,12
javier,3,0.9192070000000001,12
javier,3,0.9491344999999995,21
javier,3,0.9491656999999947,33
javier,3,0.9491788999999997,42
javier,3,0.9492963999999944,57
javier,3,0.9493113999999991,73
javier,3,0.9493219999999951,75
javier,3,0.9493314999999996,67
javier,3,0.9494186999999954,60
javier,3,0.9494305999999995,39
javier,3,0.9494404000000003,12
javier,3,0.9495658999999961,2
javier,3,0.9495826999999935,7
javier,3,0.949595599999995,20
javier,3,0.949606799999998,28
javier,3,0.9497252999999972,49
javier,3,0.9497565999999935,74
javier,3,0.9497663000000003,83
javier,3,0.9497761999999952,73
javier,3,0.9498881999999966,55
javier,3,0.9498985999999974,42
javier,3,0.9499068999999949,44
javier,3,0.9499621999999945,54
javier,3,0.9499724,57
javier,3,0.9807995999999974,43
javier,3,0.980827699999999,26
javier,3,0.9808373999999986,19
javier,3,0.9809349999999952,20
javier,3,0.9809469999999934,43
javier,3,0.9809585999999939,67
javier,3,0.9809664999999939,50
javier,3,0.9810333999999941,21
javier,3,0.9810427999999973,10
javier,3,0.9810504999999949,23
javier,3,0.9810910999999933,39
javier,3,0.9810998999999967,51
javier,3,1.0116474999999951,55
javier,3,1.0116782999999998,41
javier,3,1.0116893999999945,21
javier,3,1.0117799999999946,11
javier,3,1.0117916999999963,22
javier,3,1.011800099999995,44
javier,3,1.011808099999996,57
javier,3,1.0118982999999986,54
javier,3,1.011909799999998,56
javier,3,1.011918999999999,73
javier,3,1.0120509999999996,85
javier,3,1.012082399999997,83
javier,3,1.0120930000000001,75
javier,3,1.0121161999999941,57
javier,3,1.012164999999996,37
javier,3,1.0445637999999988,36
javier,3,1.0446071999999944,37
javier,3,1.044630699999999,37
javier,3,1.044823099999995,29
javier,3,1.0448472999999936,16
javier,3,1.0448842999999997,5
javier,3,1.044905799999995,8
javier,3,1.0450853999999978,24
javier,3,1.0451090999999977,45
javier,3,1.0451300000000003,48
javier,3,1.0453147999999999,40
javier,3,1.0453382999999974,49
javier,3,1.0453586999999942,49
javier,3,1.045377699999996,37
javier,3,1.0454673999999997,22
javier,3,1.0454791999999955,17
javier,3,1.0454881,23
javier,3,1.0454971999999998,33
