person,questionCode,timediff,rawEeg
silvia2,2,0.8994227000000024,113
silvia2,2,0.8994938000000019,90
silvia2,2,0.8995342999999991,91
silvia2,2,0.899569200000002,114
silvia2,2,0.8998618999999906,131
silvia2,2,0.8999060000000014,133
silvia2,2,0.8999400000000009,129
silvia2,2,0.9002210000000019,123
silvia2,2,0.9002618999999896,124
silvia2,2,0.9002945000000011,129
silvia2,2,0.900568199999995,124
silvia2,2,0.9006076000000007,113
silvia2,2,0.9006402999999921,88
silvia2,2,0.9006720000000001,80
silvia2,2,0.9010708999999935,75
silvia2,2,0.9011172000000016,80
silvia2,2,0.9011477999999897,89
silvia2,2,0.9014174999999938,104
silvia2,2,0.9014547000000022,107
silvia2,2,0.9014827999999966,100
silvia2,2,0.9015090999999984,103
silvia2,2,0.901754799999992,112
silvia2,2,0.9017903000000018,120
silvia2,2,0.9018171999999964,134
silvia2,2,0.902056899999991,146
silvia2,2,0.9020929999999936,137
silvia2,2,0.9021204999999952,113
silvia2,2,0.902360299999998,92
silvia2,2,0.9023948999999902,93
silvia2,2,0.9024220999999955,101
silvia2,2,0.9024483000000032,113
silvia2,2,0.9026880999999918,108
silvia2,2,0.9027617999999933,73
silvia2,2,0.9027935000000014,41
silvia2,2,0.9029553999999962,39
silvia2,2,0.9029931000000033,56
silvia2,2,0.9283258999999902,80
silvia2,2,0.9284143999999941,83
silvia2,2,0.9284554999999983,53
silvia2,2,0.928746199999992,6
silvia2,2,0.928794400000001,-20
silvia2,2,0.9288341000000031,-3
silvia2,2,0.986407799999995,18
silvia2,2,1.0277480999999966,3
silvia2,2,1.027778699999999,-18
silvia2,2,1.02779009999999,-11
silvia2,2,1.0278909999999968,3
silvia2,2,1.0279015999999928,7
silvia2,2,1.0279098999999974,20
silvia2,2,1.0279170000000022,22
silvia2,2,1.0279838999999953,-1
silvia2,2,1.0279933999999997,-13
silvia2,2,1.028000800000001,-14
silvia2,2,1.028034599999998,-20
silvia2,2,1.0774287999999927,-13
silvia2,2,1.0774644999999907,-5
silvia2,2,1.0774802999999906,-5
silvia2,2,1.0776250999999917,-12
silvia2,2,1.0776475999999917,-2
silvia2,2,1.0776595999999898,13
silvia2,2,1.077670299999994,17
silvia2,2,1.077771999999996,8
silvia2,2,1.0777856999999926,-4
silvia2,2,1.077796499999991,-19
silvia2,2,1.0778861000000006,-35
silvia2,2,1.0778999999999996,-51
silvia2,2,1.0779103999999933,-42
silvia2,2,1.0779962000000012,-17
silvia2,2,1.0780094999999932,-6
silvia2,2,1.0780196999999987,-22
silvia2,2,1.0780290999999949,-44
silvia2,2,1.0781133999999923,-50
silvia2,2,1.0781257999999951,-40
silvia2,2,1.0781352999999996,-27
silvia2,2,1.078218800000002,-13
silvia2,2,1.0782310999999964,0
silvia2,2,1.078241399999996,17
silvia2,2,1.0782528999999954,36
silvia2,2,1.0783370999999988,45
silvia2,2,1.0783496999999898,45
silvia2,2,1.0783593999999965,34
silvia2,2,1.0784433999999976,11
silvia2,2,1.0784744999999987,0
silvia2,2,1.0784948000000014,-5
silvia2,2,1.0785065999999972,-8
silvia2,2,1.0786046999999996,8
silvia2,2,1.0786178000000035,53
silvia2,2,1.0786279000000007,90
silvia2,2,1.0786375999999933,96
silvia2,2,1.0787442999999968,80
silvia2,2,1.0787571999999983,64
silvia2,2,1.0787670999999932,67
silvia2,2,1.0788376,80
silvia2,2,1.0788510000000002,87
silvia2,2,1.0788615999999962,87
silvia2,2,1.1064472999999992,82
silvia2,2,1.1064997000000005,71
silvia2,2,1.106531099999998,70
silvia2,2,1.1067656000000028,93
silvia2,2,1.1067905999999965,113
silvia2,2,1.1068108999999993,101
silvia2,2,1.1068303999999927,85
silvia2,2,1.1069868000000014,90
silvia2,2,1.1070046999999903,119
silvia2,2,1.1070187999999916,135
silvia2,2,1.1071618,128
silvia2,2,1.1071855,108
silvia2,2,1.1072010000000034,98
silvia2,2,1.1073306999999915,106
silvia2,2,1.1073524999999904,124
silvia2,2,1.1073695999999984,123
silvia2,2,1.1073840999999902,107
silvia2,2,1.10749899999999,116
silvia2,2,1.1075323000000026,131
silvia2,2,1.107554399999998,129
silvia2,2,1.1078471000000008,131
silvia2,2,1.1078579999999931,165
silvia2,2,1.1078668999999906,205
silvia2,2,1.1079486000000003,209
silvia2,2,1.1079580999999905,194
silvia2,2,1.10798419999999,179
silvia2,2,1.1079919999999959,166
silvia2,2,1.108070099999992,160
silvia2,2,1.1080974999999995,160
silvia2,2,1.10810579999999,162
silvia2,2,1.1081939000000034,160
silvia2,2,1.1082224999999966,156
silvia2,2,1.1082308999999952,153
silvia2,2,1.108311399999991,161
silvia2,2,1.1083215000000024,180
silvia2,2,1.1083289000000036,186
silvia2,2,1.1083359000000002,178
silvia2,2,1.108398699999995,172
silvia2,2,1.1084073999999902,189
silvia2,2,1.1084147999999914,201
silvia2,2,1.1085032999999953,188
silvia2,2,1.1085133999999925,181
silvia2,2,1.1085214999999948,192
silvia2,2,1.1085985999999934,204
silvia2,2,1.1086071999999945,216
silvia2,2,1.1086143999999933,228
silvia2,2,1.1086481999999904,231
silvia2,2,1.108758899999998,227
silvia2,2,1.108784,212
silvia2,2,1.1087911999999989,195
silvia2,2,1.1088538999999997,180
silvia2,2,1.108863999999997,186
silvia2,2,1.127754799999991,218
silvia2,2,1.1278351999999927,242
silvia2,2,1.1278494000000023,247
silvia2,2,1.127970899999994,243
silvia2,2,1.1279826999999898,232
silvia2,2,1.1279911000000027,226
silvia2,2,1.1280280999999945,217
silvia2,2,1.1667183999999935,208
silvia2,2,1.1908201999999903,201
silvia2,2,1.1908684999999934,197
silvia2,2,1.1909136999999959,188
silvia2,2,1.1911228999999963,186
silvia2,2,1.1911533999999904,205
silvia2,2,1.1911769999999962,233
silvia2,2,1.191375899999997,248
silvia2,2,1.1914065999999934,235
silvia2,2,1.191430099999991,195
silvia2,2,1.1914546000000001,153
silvia2,2,1.1916465999999986,133
silvia2,2,1.1916722999999934,121
silvia2,2,1.1916932999999972,140
silvia2,2,1.1918922999999921,153
silvia2,2,1.19192129999999,136
silvia2,2,1.1919420999999915,128
silvia2,2,1.192126799999997,138
silvia2,2,1.1921528999999964,146
