person,questionCode,timediff,rawEeg
javier,29,0.9621852999999874,36
javier,29,0.9622243999999682,66
javier,29,0.9622339999999667,80
javier,29,0.9622746000000006,75
javier,29,0.9915323999999828,56
javier,29,0.9915830999999571,43
javier,29,0.9915937999999755,48
javier,29,0.991731199999947,55
javier,29,0.9917435999999498,64
javier,29,0.9917522999999733,58
javier,29,0.9917602999999531,59
javier,29,0.9918333999999618,70
javier,29,0.9918433999999934,65
javier,29,0.9918512999999507,53
javier,29,0.9920048999999835,50
javier,29,0.9920182999999838,40
javier,29,0.9920516999999904,12
javier,29,0.9920793000000003,-4
javier,29,0.9922597999999994,6
javier,29,0.9922851999999693,34
javier,29,0.9922930999999835,53
javier,29,0.9923633999999879,65
javier,29,0.992373099999952,59
javier,29,0.9923809000000006,39
javier,29,0.9923883999999816,25
javier,29,0.9924245999999926,40
javier,29,1.0226196999999502,69
javier,29,1.0226502999999525,86
javier,29,1.0226603999999497,83
javier,29,1.0227853999999752,69
javier,29,1.0227993999999967,50
javier,29,1.022808599999962,25
javier,29,1.0228305999999634,-2
javier,29,1.0229024999999865,-17
javier,29,1.0229125999999837,-20
javier,29,1.0229201999999873,-22
javier,29,1.023019999999974,-28
javier,29,1.023032599999965,-28
javier,29,1.0230418999999529,-20
javier,29,1.0547154999999862,-4
javier,29,1.0547497999999678,9
javier,29,1.0547644999999761,10
javier,29,1.054886999999951,20
javier,29,1.0548998999999526,35
javier,29,1.0549089999999524,49
javier,29,1.0549173999999653,64
javier,29,1.0550006999999937,80
javier,29,1.0550117999999884,99
javier,29,1.0550209999999538,116
javier,29,1.0550958999999693,118
javier,29,1.0551063999999997,105
javier,29,1.0551150999999663,86
javier,29,1.055123299999991,71
javier,29,1.055196799999976,75
javier,29,1.055207199999984,77
javier,29,1.0552155999999968,57
javier,29,1.0552884999999605,40
javier,29,1.0552993999999671,41
javier,29,1.0553082999999788,50
javier,29,1.0861534999999662,49
javier,29,1.0862003999999956,41
javier,29,1.0862242999999694,50
javier,29,1.1179013999999938,74
javier,29,1.1179333999999699,92
javier,29,1.1179439999999659,90
javier,29,1.1180430999999658,88
javier,29,1.1180559000000017,103
javier,29,1.1180650000000014,108
javier,29,1.1181701999999518,103
javier,29,1.118182699999977,88
javier,29,1.1181911999999556,74
javier,29,1.1181990999999698,70
javier,29,1.1182728999999654,60
javier,29,1.1182829999999626,37
javier,29,1.1182909999999993,22
javier,29,1.1182991000000015,33
javier,29,1.1183692999999835,42
javier,29,1.1183809999999994,41
javier,29,1.1183891999999673,33
javier,29,1.1184603999999467,22
javier,29,1.1184705999999665,33
javier,29,1.1184784999999806,52
javier,29,1.1185016000000019,68
javier,29,1.1186028999999849,67
javier,29,1.1186128999999596,54
javier,29,1.1186207999999738,41
javier,29,1.118690700000002,36
javier,29,1.118701099999953,38
javier,29,1.1187094000000002,40
javier,29,1.149097099999949,25
javier,29,1.149129099999982,18
javier,29,1.1491580999999655,17
javier,29,1.1492825999999923,8
javier,29,1.1492995999999494,-2
javier,29,1.1493098999999916,-2
javier,29,1.149319300000002,0
javier,29,1.1494038999999816,4
javier,29,1.149416199999962,7
javier,29,1.1494255999999723,16
javier,29,1.1494350999999483,28
javier,29,1.1495502999999871,43
javier,29,1.1495617999999581,44
javier,29,1.1495705999999473,38
javier,29,1.1496896999999535,29
javier,29,1.1497018999999682,27
javier,29,1.1497110999999904,43
javier,29,1.1497336999999561,67
javier,29,1.181585699999971,86
javier,29,1.1816544999999792,96
javier,29,1.1816850999999815,85
javier,29,1.1817871999999738,73
javier,29,1.1817975999999817,68
javier,29,1.1818052999999509,58
javier,29,1.1818126000000007,57
javier,29,1.1818786999999702,65
javier,29,1.181887999999958,67
javier,29,1.181895099999963,66
javier,29,1.1819355999999743,56
javier,29,1.1819445999999516,48
javier,29,1.2133395999999834,44
javier,29,1.2133731999999782,45
javier,29,1.213384899999994,45
javier,29,1.2135712999999555,54
javier,29,1.2136005999999497,65
javier,29,1.2136257999999884,53
javier,29,1.2136444999999867,41
javier,29,1.213880099999983,48
javier,29,1.2139096999999879,56
javier,29,1.2139342999999485,43
javier,29,1.2140577999999778,39
javier,29,1.2458019999999692,51
javier,29,1.2458860999999501,69
javier,29,1.2459101999999689,73
javier,29,1.2461040999999682,66
javier,29,1.2461293999999725,57
javier,29,1.2461487999999576,56
javier,29,1.2461669999999572,66
javier,29,1.2463296999999898,87
javier,29,1.246352599999966,91
javier,29,1.246370499999955,71
javier,29,1.2465355999999588,48
javier,29,1.2465587999999457,27
javier,29,1.246577000000002,17
javier,29,1.2465947999999685,18
javier,29,1.24677539999999,22
javier,29,1.2467985999999769,24
javier,29,1.2468165999999883,17
javier,29,1.2469740999999885,10
javier,29,1.246996299999978,18
javier,29,1.2470177999999805,25
javier,29,1.2470356999999694,12
javier,29,1.2471707999999921,-8
javier,29,1.247193599999946,-23
javier,29,1.2472125999999548,-22
javier,29,1.2773242999999752,-12
javier,29,1.2773636999999667,-4
javier,29,1.277379499999995,17
javier,29,1.2775150999999596,45
javier,29,1.2775324999999498,59
javier,29,1.2775454999999738,52
javier,29,1.277557999999999,48
javier,29,1.2776650999999788,54
javier,29,1.2776797999999872,67
javier,29,1.2776920999999675,74
javier,29,1.27780869999998,72
javier,29,1.2778243999999859,50
javier,29,1.2778367999999887,33
javier,29,1.2778486999999927,20
javier,29,1.308484299999975,1
javier,29,1.3085198999999648,-19
javier,29,1.3085327999999663,-20
javier,29,1.3086382999999842,-4
javier,29,1.3086512999999513,11
javier,29,1.3086626999999567,25
javier,29,1.3086713999999802,24
javier,29,1.3087690999999495,10
javier,29,1.308782199999996,-2
javier,29,1.3087915999999495,7
javier,29,1.3088927999999669,35
javier,29,1.3089049999999816,59
javier,29,1.3089140999999813,76
javier,29,1.3089226999999823,71
javier,29,1.3090011999999547,44
javier,29,1.3090121999999837,32
javier,29,1.309022299999981,32
javier,29,1.3091366999999536,29
javier,29,1.309159099999988,21
javier,29,1.3394898999999896,10
javier,29,1.3395573999999897,16
javier,29,1.3395701999999687,19
javier,29,1.339759499999957,17
javier,29,1.3397932999999966,20
javier,29,1.339823899999999,33
javier,29,1.339832299999955,40
javier,29,1.3399129999999673,28
