person,questionCode,timediff,rawEeg
javier,3,0.997745100000003,28
javier,3,0.9978166000000002,35
javier,3,0.9978537000000003,38
javier,3,0.9978833999999992,50
javier,3,0.9981464999999972,51
javier,3,0.9981858000000017,40
javier,3,0.9982147999999995,20
javier,3,0.9984699999999975,2
javier,3,0.9985371000000001,1
javier,3,0.9985696000000033,8
javier,3,0.9985970000000037,18
javier,3,0.9988421999999986,18
javier,3,0.9988767000000038,16
javier,3,0.9989775000000023,27
javier,3,0.9990045999999992,42
javier,3,0.9992488999999978,39
javier,3,0.9992824999999996,27
javier,3,0.999311800000001,19
javier,3,0.9995800000000017,16
javier,3,0.9996178000000029,9
javier,3,0.9996794999999992,8
javier,3,0.9997068999999996,21
javier,3,0.9998834000000016,33
javier,3,0.9999198000000007,50
javier,3,1.0169809,68
javier,3,1.0171052000000032,60
javier,3,1.0171852000000001,40
javier,3,1.0175747999999984,26
javier,3,1.0176197999999985,26
javier,3,1.017650500000002,27
javier,3,1.0176793999999987,29
javier,3,1.0178914999999975,40
javier,3,1.0566448000000008,52
javier,3,1.0796518000000006,54
javier,3,1.0796899999999994,57
javier,3,1.0797037000000032,64
javier,3,1.0798479999999984,70
javier,3,1.0798625999999985,68
javier,3,1.079876800000001,52
javier,3,1.079903299999998,55
javier,3,1.080063899999999,65
javier,3,1.080081700000001,57
javier,3,1.0801066000000006,50
javier,3,1.0801979000000017,39
javier,3,1.0802102000000033,33
javier,3,1.0802187999999973,34
javier,3,1.0802268999999995,37
javier,3,1.0803014000000033,42
javier,3,1.080311899999998,55
javier,3,1.080320300000004,64
javier,3,1.0803920999999974,58
javier,3,1.0804024999999982,51
javier,3,1.0804107000000016,58
javier,3,1.0804192000000015,77
javier,3,1.080489700000001,84
javier,3,1.0804996999999972,68
javier,3,1.0805079000000006,53
javier,3,1.0805162999999993,56
javier,3,1.08061,74
javier,3,1.0806342999999998,89
javier,3,1.0806455000000028,90
javier,3,1.0807389,74
javier,3,1.0807490999999985,55
javier,3,1.0807575999999983,50
javier,3,1.0807654999999983,41
javier,3,1.080838,33
javier,3,1.0808480000000031,29
javier,3,1.0808563000000007,28
javier,3,1.0809130000000025,19
javier,3,1.0809230999999997,12
javier,3,1.0809321999999995,9
javier,3,1.1114266000000015,16
javier,3,1.1114656000000025,33
javier,3,1.111478599999998,37
javier,3,1.1116158000000027,35
javier,3,1.1116309000000015,41
javier,3,1.111639799999999,57
javier,3,1.1116499000000033,60
javier,3,1.1117247000000035,56
javier,3,1.1117362000000028,44
javier,3,1.169162,35
javier,3,1.2049829999999986,24
javier,3,1.205015000000003,6
javier,3,1.2050263,0
javier,3,1.2051203999999984,20
javier,3,1.2051327,28
javier,3,1.2051410999999987,22
javier,3,1.2051490999999999,20
javier,3,1.2052250999999998,24
javier,3,1.2052355000000006,28
javier,3,1.2052444999999992,32
javier,3,1.2053265999999994,35
javier,3,1.2053382,42
javier,3,1.205348100000002,49
javier,3,1.2053560000000019,43
javier,3,1.2054297999999974,33
